district,price,GrossSquareMeters,NumberFloorsofBuilding,ItemStatus,NumberOfBathrooms,NumberOfRooms,FloorLocation
2,0.8052763819095476,0.12223393045310853,30,0,2,5,22
2,0.21482412060301506,0.12539515279241306,4,0,1,5,50
2,0.5728643216080401,0.18124341412012646,7,0,2,5,34
2,0.685929648241206,0.15700737618545837,10,0,2,5,2
2,0.23366834170854273,0.11485774499473128,6,0,1,5,32
2,0.2989949748743718,0.09905163329820864,4,0,1,5,0
2,0.17462311557788945,0.09378292939936775,3,1,1,3,40
2,0.135678391959799,0.05690200210748155,4,0,1,1,41
2,0.7236180904522612,0.09378292939936775,30,0,1,3,0
2,0.23366834170854273,0.09378292939936775,9,0,1,3,36
2,0.5477386934673366,0.19915700737618547,7,0,1,5,34
2,0.39321608040201,0.19915700737618547,4,0,2,10,32
2,0.20979899497487436,0.14120126448893572,2,0,1,5,12
2,0.20100502512562815,0.09905163329820864,4,0,1,5,42
2,0.33417085427135673,0.09905163329820864,14,0,1,3,35
2,0.5226130653266331,0.14120126448893572,10,0,1,5,32
2,0.1771356783919598,0.09378292939936775,3,0,1,3,41
2,0.15075376884422112,0.05690200210748155,5,0,1,1,40
2,0.20728643216080403,0.08324552160168598,3,0,1,3,12
2,0.21231155778894473,0.09378292939936775,4,0,1,3,12
2,0.22110552763819094,0.08851422550052686,4,0,1,3,50
2,0.3115577889447236,0.10432033719704951,7,0,1,3,0
2,0.5603015075376884,0.13066385669125397,8,0,1,5,35
2,0.371859296482412,0.19388830347734456,3,0,2,7,24
2,0.3153266331658291,0.09905163329820864,14,0,1,3,36
2,0.6231155778894472,0.12539515279241306,10,0,1,3,50
2,0.9243718592964824,0.5785036880927291,2,0,2,17,12
2,0.321608040201005,0.1422550052687039,5,0,2,5,32
2,0.5226130653266331,0.12539515279241306,10,0,2,5,24
2,0.5603015075376884,0.1517386722866175,9,0,1,5,12
2,0.2135678391959799,0.08851422550052686,5,0,1,3,50
2,0.7110552763819095,0.12223393045310853,13,0,1,5,35
2,0.35929648241206025,0.09378292939936775,30,0,1,1,16
2,0.5100502512562813,0.12539515279241306,8,0,1,5,35
